temp1,temp2,pressure1,proximity1,alarm,solution
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
1,2,3,4,0,
2,3,4,5,1, reduce the pressure by 25
3,4,5,6,1, reduce the pressure by 26
4,5,6,7,1, reduce the pressure by 27
5,6,7,8,1, reduce the pressure by 28
6,7,8,9,1, reduce the pressure by 29
7,8,9,10,1, reduce the pressure by 30
8,9,10,11,1, reduce the pressure by 31
9,10,11,12,1, reduce the pressure by 32
10,11,12,13,1, reduce the pressure by 33
11,12,13,14,1, reduce the pressure by 34
12,13,14,15,1, reduce the pressure by 35
13,14,15,16,1, reduce the pressure by 36
0,1,2,3,1, reduce the pressure by 37
-1,0,1,2,1, reduce the pressure by 38
-2,-1,0,1,1, reduce the pressure by 39
-3,-2,-1,0,1, reduce the pressure by 40
-4,-3,-2,-1,1, reduce the pressure by 41
-5,-4,-3,-2,1, reduce the pressure by 42
-6,-5,-4,-3,1, reduce the pressure by 43
-7,-6,-5,-4,1, reduce the pressure by 44
-8,-7,-6,-5,1, reduce the pressure by 45
-9,-8,-7,-6,1, reduce the pressure by 46
-10,-9,-8,-7,1, reduce the pressure by 47
-11,-10,-9,-8,1, reduce the pressure by 48
